,KPI Source/Customer,Measure,score_mean,score_median,score_mode,score_quartile_1,score_quartile_2,score_quartile_3,score_min,score_max,measure_value_mean,measure_value_median,measure_value_mode,measure_value_quartile_1,measure_value_quartile_2,measure_value_quartile_3,measure_value_min,measure_value_max,KPI Source
197,Lummus Technology Inc,Devices not seen +30d Umbrella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.650769439367934,38.636214531736925,38.33422317138281,38.352697293067024,38.636214531736925,38.97711421098518,37.890625,39.2896174863388,Devices not seen +30d
198,Lummus Technology Inc,Devices with vulnerabilities Qualys,19.73180076628353,22.22222222222223,33.33333333333334,11.11111111111111,22.22222222222223,33.33333333333334,0.0,33.33333333333334,76.5903140253653,76.97553430821148,74.61024498886414,74.61024498886414,76.97553430821148,78.12097812097812,74.61024498886414,79.07268170426065,Vulnerability management
199,Lummus Technology Inc,Dissatisfied Surveys Weekly (Percentage) Odoo,91.37931034482759,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.16616236795515432,0.0,0.0,0.0,0.0,0.34369065510934027,0.0,0.6578947368421052,Satisfied and Dissatisfied Surveys
200,Lummus Technology Inc,Documented Detections Crowdstrike,58.62068965517243,66.66666666666667,100.0,33.33333333333334,66.66666666666667,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Documented Events
201,Lummus Technology Inc,Documented Incidents Crowdstrike,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Documented Events
202,Lummus Technology Inc,False Positive Alerts (Percentage) Odoo,91.95402298850574,100.0,100.0,100.0,100.0,100.0,0.0,100.0,8.574857785718452,7.691164100858747,4.940119760479042,6.508666838957394,7.691164100858747,10.270521337687198,4.940119760479042,14.88888888888889,Detection Quality Weekly
203,Lummus Technology Inc,Firewall Availability Auvik,94.82758620689656,100.0,100.0,100.0,100.0,100.0,0.0,100.0,93.63218390804599,99.94117647058823,100.0,98.53676470588235,99.94117647058823,100.0,0.0,100.0,Firewall Availability
204,Lummus Technology Inc,Handle Time Daily,76.4367816091954,83.33333333333333,100.0,66.66666666666667,83.33333333333333,100.0,0.0,100.0,4.891109618350997,0.48333333333333334,0.0,0.0,0.48333333333333334,8.07875,0.0,28.83333333333333,Handle Time
205,Lummus Technology Inc,High Availability Recommendations,18.678160919540232,0.0,0.0,0.0,0.0,16.66666666666667,0.0,100.0,103.27586206896552,55.5,2.0,4.0,55.5,198.0,0.0,394.0,Azure Recommendations
206,Lummus Technology Inc,High CI P1 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Accounting Business Process
207,Lummus Technology Inc,High CI P1 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Delivery Business Process
208,Lummus Technology Inc,High CI P1 Tickets for Engineering Business Process,67.24137931034483,100.0,100.0,0.0,100.0,100.0,0.0,100.0,3.403566233180838,0.0,0.0,0.0,0.0,0.0,0.0,68.57142857142857,Weighted P1 Tickets for Information Technology Business Process
209,Lummus Technology Inc,High CI P1 Tickets for Finance Business Process,96.55172413793103,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Finance Business Process
210,Lummus Technology Inc,High CI P1 Tickets for People (HR) Business Process,98.27586206896552,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for People (HR ) Business Process
211,Lummus Technology Inc,High CI P1 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Quality Management Business Process
212,Lummus Technology Inc,High CI P1 Tickets for Sales Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Sales Business Process 
213,Lummus Technology Inc,High CI P1 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Service Business Process
